HydroRoR_inflow_NO,HydroRoR_inflow_SE,HydroRoR_inflow_FI,HydroRoR_inflow_DK,HydroRoR_inflow_IE,HydroRoR_inflow_UK,HydroRoR_inflow_NL,HydroRoR_inflow_BE,HydroRoR_inflow_LU,HydroRoR_inflow_DE,HydroRoR_inflow_PL,HydroRoR_inflow_LV,HydroRoR_inflow_EE,HydroRoR_inflow_LT,HydroRoR_inflow_CZ,HydroRoR_inflow_AT,HydroRoR_inflow_SK,HydroRoR_inflow_HU,HydroRoR_inflow_FR,HydroRoR_inflow_CH,HydroRoR_inflow_IT,HydroRoR_inflow_SI,HydroRoR_inflow_HR,HydroRoR_inflow_RO,HydroRoR_inflow_BG,HydroRoR_inflow_GR,HydroRoR_inflow_ES,HydroRoR_inflow_PT
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
9154.840931,0,0,0,45.83193277,533.9050181,7.727703709,31.90343603,5.877540503,1775.301461,63.89698268,39.74887604,0,43.50510331,101.7813887,4008.319409,454.3518856,30.22128385,3423.164631,2796.851299,3979.017374,370.740776,197.2343786,1533.081645,230.2574291,137.4809688,542.3594934,30.29844738
